InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,SalePrice
57889,9/28/2015,United Kingdom,2149,UK1,Male,10.5,43-44,10, $129.00 ,10%, $116.10 
57890,9/28/2015,Germany,2207,GER1,Male,15,48,14.5, $139.00 ,0%, $139.00 
57891,9/28/2015,Germany,2178,GER3,Female,8,38-39,6, $159.00 ,0%, $159.00 
57892,9/28/2015,Germany,2163,GER3,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
57893,9/28/2015,United States,2202,US1,Male,7.5,40-41,7, $199.00 ,50%, $99.50 
57894,9/28/2015,Germany,2224,GER2,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
57895,9/29/2015,United States,2177,US15,Female,10.5,41,8.5, $149.00 ,0%, $149.00 
57895,9/29/2015,United States,2153,US15,Female,10.5,41,8.5, $169.00 ,20%, $135.20 
57896,9/29/2015,Germany,2168,GER2,Male,8,41,7.5, $159.00 ,50%, $79.50 
57897,9/29/2015,Germany,2165,GER1,Male,10.5,43-44,10, $179.00 ,20%, $143.20 
57897,9/29/2015,Germany,2207,GER2,Male,11,44,10.5, $139.00 ,0%, $139.00 
57898,9/29/2015,United States,2204,US12,Female,9,39-40,7, $189.00 ,0%, $189.00 
57899,9/29/2015,United Kingdom,2183,UK2,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
57899,9/29/2015,United Kingdom,2197,UK4,Male,10,43,9.5, $189.00 ,0%, $189.00 
57900,9/29/2015,Germany,2154,GER1,Female,9,39-40,7, $139.00 ,0%, $139.00 
57901,9/29/2015,United States,2155,US15,Male,10,43,9.5, $159.00 ,10%, $143.10 
57902,9/29/2015,United States,2147,US15,Male,11,44,10.5, $139.00 ,50%, $69.50 
57902,9/29/2015,United States,2176,US15,Male,6,39,5.5, $159.00 ,0%, $159.00 
57903,9/29/2015,Canada,2200,CAN7,Female,5.5,36,3.5, $149.00 ,30%, $104.30 
57904,9/29/2015,United States,2175,US15,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
57905,9/29/2015,United States,2162,US5,Male,9,42,8.5, $139.00 ,0%, $139.00 
57906,9/29/2015,United States,2156,US5,Male,9.5,42-43,9, $179.00 ,20%, $143.20 
57907,9/29/2015,Germany,2208,GER2,Male,11.5,44-45,11, $159.00 ,50%, $79.50 
57908,9/29/2015,Canada,2149,CAN5,Male,9.5,42-43,9, $199.00 ,10%, $179.10 
57909,9/30/2015,United States,2162,US13,Male,10,43,9.5, $129.00 ,0%, $129.00 
57910,9/30/2015,United States,2226,US8,Female,8,38-39,6, $199.00 ,30%, $139.30 
57911,9/30/2015,United Kingdom,2235,UK1,Male,11,44,10.5, $159.00 ,20%, $127.20 
57911,9/30/2015,United Kingdom,2183,UK2,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
57912,9/30/2015,Germany,2198,GER1,Male,15,48,14.5, $149.00 ,0%, $149.00 
57913,9/30/2015,Canada,2176,CAN1,Male,9,42,8.5, $169.00 ,0%, $169.00 
57914,9/30/2015,United States,2204,US13,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
57915,9/30/2015,United States,2202,US15,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
57915,9/30/2015,United States,2181,US8,Female,8,38-39,6, $139.00 ,0%, $139.00 
57916,9/30/2015,Canada,2191,CAN2,Male,9.5,42-43,9, $199.00 ,30%, $139.30 
57917,9/30/2015,Germany,2175,GER1,Female,8.5,39,6.5, $179.00 ,10%, $161.10 
57918,9/30/2015,United States,2230,US7,Female,9,39-40,7, $169.00 ,0%, $169.00 
57919,10/1/2015,United States,2202,US1,Male,7.5,40-41,7, $199.00 ,50%, $99.50 
57920,10/1/2015,United States,2209,US10,Male,7,40,6.5, $169.00 ,30%, $118.30 
57920,10/1/2015,United States,2164,US5,Female,8,38-39,6, $149.00 ,0%, $149.00 
57921,10/1/2015,United States,2188,US2,Female,7,37-38,5, $139.00 ,30%, $97.30 
57922,10/1/2015,United States,2190,US15,Male,11.5,44-45,11, $179.00 ,0%, $179.00 
57923,10/1/2015,Canada,2237,CAN1,Male,9.5,42-43,9, $199.00 ,10%, $179.10 
57924,10/1/2015,Canada,2235,CAN1,Male,9,42,8.5, $199.00 ,0%, $199.00 
57925,10/1/2015,United Kingdom,2167,UK1,Female,9.5,40,7.5, $129.00 ,0%, $129.00 
57926,10/1/2015,Canada,2204,CAN5,Female,8,38-39,6, $129.00 ,0%, $129.00 
57927,10/2/2015,Germany,2174,GER2,Female,8,38-39,6, $159.00 ,0%, $159.00 
57928,10/2/2015,Germany,2205,GER2,Male,10,43,9.5, $189.00 ,10%, $170.10 
57929,10/2/2015,United States,2237,US7,Female,8,38-39,6, $149.00 ,10%, $134.10 
57930,10/2/2015,Canada,2147,CAN6,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
57931,10/2/2015,United States,2205,US9,Female,7,37-38,5, $169.00 ,0%, $169.00 
57931,10/2/2015,United States,2216,US13,Female,8.5,39,6.5, $169.00 ,10%, $152.10 
57932,10/2/2015,Germany,2203,GER1,Male,9.5,42-43,9, $139.00 ,0%, $139.00 
57933,10/2/2015,United States,2170,US15,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
57934,10/2/2015,United States,2183,US6,Male,10,43,9.5, $159.00 ,0%, $159.00 
57935,10/2/2015,Canada,2174,CAN7,Male,9,42,8.5, $179.00 ,20%, $143.20 
57936,10/2/2015,Germany,2216,GER1,Female,9.5,40,7.5, $159.00 ,20%, $127.20 
57937,10/2/2015,Germany,2172,GER2,Male,9,42,8.5, $189.00 ,0%, $189.00 
57938,10/3/2015,Germany,2167,GER1,Female,8,38-39,6, $179.00 ,0%, $179.00 
57939,10/3/2015,United States,2237,US7,Female,8,38-39,6, $149.00 ,10%, $134.10 
57940,10/3/2015,Canada,2200,CAN7,Female,5.5,36,3.5, $149.00 ,30%, $104.30 
57941,10/3/2015,United States,2233,US12,Male,10,43,9.5, $179.00 ,30%, $125.30 
57942,10/3/2015,Canada,2167,CAN6,Female,7.5,38,5.5, $199.00 ,30%, $139.30 
57942,10/3/2015,Canada,2183,CAN2,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
57943,10/3/2015,Canada,2149,CAN5,Male,9.5,42-43,9, $199.00 ,10%, $179.10 
57944,10/3/2015,Germany,2205,GER1,Female,10,40-41,8, $159.00 ,50%, $79.50 
57945,10/3/2015,United States,2195,US8,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
57946,10/3/2015,United Kingdom,2167,UK1,Female,9.5,40,7.5, $129.00 ,0%, $129.00 
57947,10/3/2015,United States,2231,US3,Male,8.5,41-42,8, $199.00 ,0%, $199.00 
57948,10/3/2015,United Kingdom,2212,UK1,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
57949,10/3/2015,United States,2225,US14,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
57950,10/3/2015,Germany,2203,GER1,Female,9.5,40,7.5, $139.00 ,10%, $125.10 
57951,10/4/2015,United States,2178,US14,Male,9,42,8.5, $139.00 ,0%, $139.00 
57952,10/4/2015,Germany,2178,GER3,Female,8,38-39,6, $159.00 ,0%, $159.00 
57953,10/4/2015,Canada,2159,CAN6,Female,9,39-40,7, $199.00 ,50%, $99.50 
57954,10/4/2015,United States,2165,US15,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
57955,10/4/2015,United States,2169,US14,Female,8,38-39,6, $169.00 ,50%, $84.50 
57955,10/4/2015,United States,2226,US1,Female,8,38-39,6, $139.00 ,0%, $139.00 
57956,10/4/2015,United States,2169,US12,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
57957,10/4/2015,Canada,2238,CAN2,Male,10,43,9.5, $139.00 ,10%, $125.10 
57958,10/4/2015,Germany,2200,GER3,Male,12,45,11.5, $179.00 ,30%, $125.30 
57959,10/4/2015,Germany,2214,GER1,Female,8.5,39,6.5, $189.00 ,30%, $132.30 
57960,10/4/2015,United States,2182,US4,Male,8.5,41-42,8, $159.00 ,20%, $127.20 
57961,10/4/2015,United States,2190,US1,Male,9,42,8.5, $189.00 ,50%, $94.50 
57962,10/4/2015,Canada,2179,CAN3,Female,9,39-40,7, $169.00 ,10%, $152.10 
57963,10/4/2015,United States,2164,US5,Male,9,42,8.5, $169.00 ,0%, $169.00 
57964,10/5/2015,United Kingdom,2185,UK1,Male,9,42,8.5, $199.00 ,0%, $199.00 
57965,10/5/2015,Canada,2156,CAN7,Female,8.5,39,6.5, $139.00 ,0%, $139.00 
57966,10/5/2015,United Kingdom,2188,UK2,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
57967,10/5/2015,Germany,2212,GER1,Male,11,44,10.5, $199.00 ,0%, $199.00 
57968,10/5/2015,United States,2178,US14,Male,9,42,8.5, $139.00 ,0%, $139.00 
57969,10/5/2015,United Kingdom,2222,UK3,Male,11.5,44-45,11, $149.00 ,0%, $149.00 
57970,10/5/2015,United States,2221,US4,Female,7,37-38,5, $149.00 ,0%, $149.00 
57971,10/5/2015,United Kingdom,2162,UK1,Male,11.5,44-45,11, $169.00 ,10%, $152.10 
57972,10/5/2015,Canada,2202,CAN1,Female,8,38-39,6, $179.00 ,0%, $179.00 
57973,10/5/2015,Germany,2198,GER3,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
57974,10/6/2015,Germany,2172,GER2,Male,9,42,8.5, $189.00 ,0%, $189.00 
57975,10/6/2015,United States,2149,US3,Male,12,45,11.5, $189.00 ,0%, $189.00 
57976,10/6/2015,United States,2172,US12,Female,10,40-41,8, $149.00 ,0%, $149.00 
57977,10/6/2015,United States,2229,US5,Female,7.5,38,5.5, $139.00 ,50%, $69.50 
57978,10/6/2015,United States,2221,US12,Female,8.5,39,6.5, $179.00 ,0%, $179.00 
57978,10/6/2015,United States,2240,US12,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
57979,10/6/2015,Germany,2173,GER1,Female,8.5,39,6.5, $149.00 ,20%, $119.20 
57980,10/6/2015,Germany,2152,GER2,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
57981,10/6/2015,United States,2195,US12,Male,10,43,9.5, $179.00 ,0%, $179.00 
57982,10/6/2015,United States,2240,US6,Male,13,46,12.5, $169.00 ,50%, $84.50 
57983,10/6/2015,United Kingdom,2212,UK1,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
57984,10/6/2015,United States,2193,US4,Male,10.5,43-44,10, $169.00 ,30%, $118.30 
57985,10/6/2015,United Kingdom,2200,UK2,Male,9.5,42-43,9, $169.00 ,50%, $84.50 
57985,10/6/2015,United Kingdom,2150,UK3,Female,10.5,41,8.5, $199.00 ,0%, $199.00 
57986,10/6/2015,Canada,2192,CAN6,Male,7,40,6.5, $169.00 ,0%, $169.00 
57987,10/6/2015,United Kingdom,2223,UK5,Male,9,42,8.5, $199.00 ,30%, $139.30 
57988,10/7/2015,United States,2181,US14,Male,11,44,10.5, $139.00 ,50%, $69.50 
57989,10/7/2015,Germany,2224,GER1,Female,9,39-40,7, $199.00 ,10%, $179.10 
57990,10/7/2015,Canada,2213,CAN7,Male,11.5,44-45,11, $189.00 ,30%, $132.30 
57990,10/7/2015,Canada,2230,CAN6,Male,9,42,8.5, $139.00 ,0%, $139.00 
57991,10/7/2015,Germany,2193,GER1,Male,9,42,8.5, $199.00 ,20%, $159.20 
57992,10/7/2015,Germany,2233,GER2,Male,10,43,9.5, $169.00 ,0%, $169.00 
57993,10/7/2015,United States,2214,US3,Male,9.5,42-43,9, $129.00 ,30%, $90.30 
57994,10/7/2015,United Kingdom,2153,UK4,Female,10.5,41,8.5, $149.00 ,0%, $149.00 
57995,10/7/2015,United Kingdom,2158,UK4,Female,8,38-39,6, $159.00 ,50%, $79.50 
57996,10/7/2015,Canada,2187,CAN2,Female,8,38-39,6, $199.00 ,0%, $199.00 
57997,10/7/2015,Canada,2199,CAN5,Male,15,48,14.5, $149.00 ,0%, $149.00 
57998,10/7/2015,United States,2185,US12,Male,10,43,9.5, $149.00 ,0%, $149.00 
57999,10/7/2015,United Kingdom,2215,UK5,Male,7.5,40-41,7, $149.00 ,20%, $119.20 
57999,10/7/2015,United Kingdom,2218,UK2,Female,7,37-38,5, $189.00 ,0%, $189.00 
58000,10/8/2015,Canada,2159,CAN5,Male,9,42,8.5, $169.00 ,30%, $118.30 
58001,10/8/2015,United States,2205,US4,Female,7.5,38,5.5, $199.00 ,0%, $199.00 
58001,10/8/2015,United States,2191,US10,Female,8,38-39,6, $199.00 ,50%, $99.50 
58002,10/8/2015,Germany,2166,GER1,Male,12,45,11.5, $149.00 ,0%, $149.00 
58003,10/8/2015,United States,2233,US12,Female,8,38-39,6, $199.00 ,30%, $139.30 
58004,10/8/2015,United Kingdom,2231,UK4,Female,10.5,41,8.5, $169.00 ,0%, $169.00 
58005,10/8/2015,United States,2162,US11,Male,11,44,10.5, $199.00 ,0%, $199.00 
58006,10/8/2015,Germany,2181,GER3,Female,10,40-41,8, $149.00 ,0%, $149.00 
58007,10/8/2015,United Kingdom,2205,UK5,Female,7,37-38,5, $189.00 ,0%, $189.00 
58007,10/8/2015,United Kingdom,2212,UK1,Male,9.5,42-43,9, $149.00 ,0%, $149.00 
58007,10/8/2015,United Kingdom,2223,UK5,Male,9,42,8.5, $199.00 ,30%, $139.30 
58008,10/8/2015,United Kingdom,2176,UK3,Male,10,43,9.5, $159.00 ,0%, $159.00 
58009,10/8/2015,Germany,2225,GER1,Male,11,44,10.5, $149.00 ,0%, $149.00 
58010,10/9/2015,Germany,2193,GER2,Female,9.5,40,7.5, $159.00 ,20%, $127.20 
58011,10/9/2015,Canada,2152,CAN2,Male,8.5,41-42,8, $159.00 ,0%, $159.00 
58012,10/9/2015,Canada,2219,CAN6,Male,9,42,8.5, $199.00 ,0%, $199.00 
58013,10/9/2015,Canada,2232,CAN2,Male,9,42,8.5, $199.00 ,50%, $99.50 
58014,10/9/2015,United States,2180,US13,Female,9,39-40,7, $189.00 ,0%, $189.00 
58015,10/9/2015,United States,2200,US15,Male,10,43,9.5, $179.00 ,30%, $125.30 
58016,10/9/2015,Germany,2189,GER2,Male,8,41,7.5, $159.00 ,20%, $127.20 
58017,10/9/2015,Germany,2172,GER2,Male,9,42,8.5, $189.00 ,0%, $189.00 
58018,10/9/2015,United States,2178,US14,Male,9,42,8.5, $139.00 ,0%, $139.00 
58019,10/9/2015,United States,2195,US8,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
58020,10/9/2015,United States,2164,US12,Male,10,43,9.5, $139.00 ,0%, $139.00 
58021,10/9/2015,Germany,2177,GER1,Male,10,43,9.5, $179.00 ,0%, $179.00 
58022,10/9/2015,United States,2233,US12,Female,8,38-39,6, $199.00 ,30%, $139.30 
58023,10/9/2015,Germany,2183,GER1,Female,8,38-39,6, $139.00 ,0%, $139.00 
58024,10/10/2015,United States,2186,US2,Male,8,41,7.5, $159.00 ,30%, $111.30 
58025,10/10/2015,Canada,2187,CAN2,Male,8.5,41-42,8, $179.00 ,50%, $89.50 
58026,10/10/2015,Canada,2220,CAN7,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
58027,10/10/2015,United Kingdom,2215,UK5,Male,7.5,40-41,7, $149.00 ,20%, $119.20 
58028,10/10/2015,Germany,2148,GER2,Male,8,41,7.5, $149.00 ,0%, $149.00 
58029,10/10/2015,Canada,2180,CAN5,Male,8.5,41-42,8, $199.00 ,0%, $199.00 
58030,10/10/2015,United States,2192,US12,Male,11.5,44-45,11, $149.00 ,0%, $149.00 
58031,10/10/2015,United Kingdom,2228,UK1,Female,8.5,39,6.5, $159.00 ,0%, $159.00 
58032,10/10/2015,United Kingdom,2207,UK2,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
58033,10/10/2015,Germany,2156,GER2,Female,9,39-40,7, $149.00 ,30%, $104.30 
58034,10/10/2015,Germany,2222,GER1,Male,10,43,9.5, $159.00 ,0%, $159.00 
58035,10/10/2015,Germany,2192,GER3,Male,9.5,42-43,9, $169.00 ,20%, $135.20 
58036,10/10/2015,Germany,2177,GER1,Male,9,42,8.5, $159.00 ,0%, $159.00 
58037,10/11/2015,Germany,2209,GER1,Male,9,42,8.5, $129.00 ,50%, $64.50 
58038,10/11/2015,United States,2161,US14,Male,8,41,7.5, $199.00 ,10%, $179.10 
58039,10/11/2015,United Kingdom,2218,UK2,Female,7,37-38,5, $189.00 ,0%, $189.00 
58040,10/11/2015,Canada,2232,CAN1,Male,6.5,39,6, $169.00 ,0%, $169.00 
58041,10/11/2015,Canada,2223,CAN7,Male,8.5,41-42,8, $169.00 ,20%, $135.20 
58042,10/11/2015,United States,2185,US12,Male,10,43,9.5, $149.00 ,0%, $149.00 
58042,10/11/2015,United States,2233,US12,Male,10,43,9.5, $159.00 ,0%, $159.00 
58043,10/11/2015,United States,2155,US12,Male,9.5,42-43,9, $159.00 ,30%, $111.30 
58043,10/11/2015,United States,2182,US15,Male,9,42,8.5, $149.00 ,30%, $104.30 
58044,10/11/2015,Germany,2191,GER2,Female,8.5,39,6.5, $169.00 ,0%, $169.00 
58045,10/11/2015,Canada,2188,CAN1,Male,11,44,10.5, $189.00 ,0%, $189.00 
58046,10/11/2015,United States,2169,US12,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
58047,10/11/2015,United Kingdom,2200,UK2,Male,9.5,42-43,9, $169.00 ,50%, $84.50 
58048,10/11/2015,Germany,2154,GER1,Male,9,42,8.5, $169.00 ,0%, $169.00 
58049,10/11/2015,Germany,2158,GER1,Male,10,43,9.5, $159.00 ,0%, $159.00 
58050,10/11/2015,Germany,2209,GER3,Male,14,47,13.5, $199.00 ,0%, $199.00 
58051,10/11/2015,Germany,2152,GER2,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
58052,10/11/2015,United States,2171,US13,Male,12,45,11.5, $189.00 ,0%, $189.00 
58053,10/12/2015,Germany,2152,GER2,Male,9.5,42-43,9, $179.00 ,50%, $89.50 
58054,10/12/2015,Canada,2149,CAN5,Male,9.5,42-43,9, $199.00 ,10%, $179.10 
58055,10/12/2015,United States,2161,US12,Female,10.5,41,8.5, $129.00 ,0%, $129.00 
58056,10/12/2015,Germany,2161,GER1,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
58057,10/12/2015,Germany,2188,GER2,Female,8,38-39,6, $199.00 ,0%, $199.00 
58057,10/12/2015,Germany,2157,GER1,Male,9,42,8.5, $189.00 ,30%, $132.30 
58058,10/12/2015,United States,2231,US9,Male,8.5,41-42,8, $149.00 ,30%, $104.30 
58059,10/12/2015,Germany,2183,GER1,Female,8,38-39,6, $139.00 ,0%, $139.00 
58060,10/12/2015,United Kingdom,2155,UK3,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
58061,10/12/2015,Germany,2179,GER1,Female,8,38-39,6, $159.00 ,0%, $159.00 
58062,10/12/2015,Germany,2198,GER3,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
58063,10/12/2015,Germany,2154,GER1,Female,8,38-39,6, $169.00 ,50%, $84.50 
58064,10/12/2015,United Kingdom,2230,UK5,Female,9.5,40,7.5, $189.00 ,30%, $132.30 
58065,10/13/2015,Canada,2241,CAN3,Female,9,39-40,7, $179.00 ,0%, $179.00 
58066,10/13/2015,United States,2219,US13,Female,8,38-39,6, $179.00 ,0%, $179.00 
58067,10/13/2015,United States,2186,US2,Male,8,41,7.5, $159.00 ,30%, $111.30 
58068,10/13/2015,Canada,2223,CAN7,Male,8.5,41-42,8, $169.00 ,20%, $135.20 
58069,10/13/2015,Germany,2226,GER2,Male,9.5,42-43,9, $139.00 ,0%, $139.00 
58070,10/13/2015,United States,2220,US1,Female,8.5,39,6.5, $179.00 ,0%, $179.00 
58071,10/13/2015,United States,2163,US14,Female,7.5,38,5.5, $129.00 ,50%, $64.50 
58072,10/13/2015,Germany,2225,GER3,Male,8.5,41-42,8, $199.00 ,0%, $199.00 
58072,10/13/2015,Germany,2237,GER2,Female,10.5,41,8.5, $179.00 ,0%, $179.00 
58073,10/13/2015,Germany,2200,GER2,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
58074,10/13/2015,United Kingdom,2207,UK2,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
58075,10/13/2015,United Kingdom,2185,UK3,Female,9.5,40,7.5, $159.00 ,30%, $111.30 
58076,10/14/2015,United Kingdom,2241,UK1,Male,6.5,39,6, $179.00 ,0%, $179.00 
58077,10/14/2015,United States,2155,US7,Male,13,46,12.5, $139.00 ,0%, $139.00 
58078,10/14/2015,United Kingdom,2215,UK5,Male,12,45,11.5, $179.00 ,0%, $179.00 
58079,10/14/2015,United Kingdom,2189,UK5,Female,8,38-39,6, $169.00 ,10%, $152.10 
58080,10/14/2015,Germany,2188,GER1,Male,6.5,39,6, $149.00 ,10%, $134.10 
58081,10/14/2015,United States,2242,US3,Male,9,42,8.5, $169.00 ,20%, $135.20 
58082,10/14/2015,United States,2233,US12,Male,10,43,9.5, $159.00 ,0%, $159.00 
58082,10/14/2015,United States,2192,US12,Male,11.5,44-45,11, $149.00 ,0%, $149.00 
58083,10/14/2015,United States,2199,US14,Male,10,43,9.5, $179.00 ,0%, $179.00 
58084,10/14/2015,Germany,2170,GER3,Female,7,37-38,5, $139.00 ,30%, $97.30 
58085,10/14/2015,United States,2220,US1,Male,11.5,44-45,11, $199.00 ,0%, $199.00 
58086,10/14/2015,Germany,2154,GER1,Male,9,42,8.5, $169.00 ,0%, $169.00 
58087,10/14/2015,United States,2232,US15,Female,9,39-40,7, $179.00 ,0%, $179.00 
58088,10/15/2015,United Kingdom,2155,UK3,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
58089,10/15/2015,United States,2192,US13,Male,8.5,41-42,8, $159.00 ,0%, $159.00 
58090,10/15/2015,United Kingdom,2230,UK5,Male,10,43,9.5, $139.00 ,0%, $139.00 
58091,10/15/2015,United States,2220,US9,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
58092,10/15/2015,United States,2181,US15,Male,9.5,42-43,9, $149.00 ,50%, $74.50 
58093,10/15/2015,Germany,2190,GER2,Male,10,43,9.5, $169.00 ,0%, $169.00 
58094,10/15/2015,Canada,2180,CAN6,Male,10,43,9.5, $199.00 ,0%, $199.00 
58095,10/15/2015,United States,2195,US11,Female,8,38-39,6, $179.00 ,0%, $179.00 
58096,10/15/2015,Germany,2208,GER1,Female,8,38-39,6, $169.00 ,50%, $84.50 
58097,10/15/2015,Canada,2177,CAN3,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
58098,10/15/2015,Germany,2166,GER2,Female,12,42-43,10, $139.00 ,50%, $69.50 
58099,10/15/2015,Germany,2225,GER3,Female,7.5,38,5.5, $199.00 ,0%, $199.00 
58100,10/15/2015,Germany,2151,GER2,Female,6.5,37,4.5, $139.00 ,10%, $125.10 
58101,10/15/2015,Canada,2213,CAN5,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
58102,10/15/2015,Germany,2234,GER1,Male,6,39,5.5, $129.00 ,30%, $90.30 
58103,10/15/2015,Canada,2192,CAN6,Male,7,40,6.5, $169.00 ,0%, $169.00 
58104,10/15/2015,Germany,2174,GER2,Female,8,38-39,6, $159.00 ,0%, $159.00 
58105,10/15/2015,Germany,2163,GER2,Female,8.5,39,6.5, $139.00 ,30%, $97.30 
58106,10/15/2015,Germany,2177,GER1,Male,9,42,8.5, $159.00 ,0%, $159.00 
58107,10/15/2015,United States,2203,US14,Female,9.5,40,7.5, $129.00 ,0%, $129.00 
58108,10/15/2015,United States,2239,US1,Male,8.5,41-42,8, $189.00 ,0%, $189.00 
58109,10/15/2015,Germany,2198,GER1,Female,9,39-40,7, $139.00 ,0%, $139.00 
58110,10/16/2015,Germany,2173,GER2,Female,9,39-40,7, $169.00 ,0%, $169.00 
58111,10/16/2015,United States,2162,US11,Male,11,44,10.5, $199.00 ,0%, $199.00 
58111,10/16/2015,United States,2220,US9,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
58111,10/16/2015,United States,2242,US14,Male,9.5,42-43,9, $149.00 ,50%, $74.50 
58112,10/16/2015,United States,2238,US12,Male,8.5,41-42,8, $169.00 ,10%, $152.10 
58113,10/16/2015,Germany,2192,GER3,Male,9.5,42-43,9, $169.00 ,20%, $135.20 
58114,10/16/2015,Germany,2173,GER2,Female,7.5,38,5.5, $169.00 ,30%, $118.30 
58115,10/16/2015,United States,2185,US1,Female,8,38-39,6, $169.00 ,0%, $169.00 
58116,10/16/2015,Canada,2195,CAN7,Male,10.5,43-44,10, $149.00 ,0%, $149.00 
58117,10/16/2015,Germany,2212,GER1,Male,10,43,9.5, $169.00 ,0%, $169.00 
58118,10/16/2015,United States,2168,US15,Male,8.5,41-42,8, $199.00 ,0%, $199.00 
58119,10/16/2015,Canada,2185,CAN6,Male,9,42,8.5, $159.00 ,20%, $127.20 
58120,10/16/2015,Canada,2213,CAN5,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
58121,10/16/2015,Canada,2198,CAN5,Female,9,39-40,7, $179.00 ,0%, $179.00 
58122,10/16/2015,Canada,2216,CAN2,Male,8.5,41-42,8, $179.00 ,50%, $89.50 
58123,10/16/2015,Germany,2168,GER2,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
58124,10/16/2015,United States,2213,US12,Female,12,42-43,10, $189.00 ,0%, $189.00 
58125,10/16/2015,Germany,2178,GER1,Female,8.5,39,6.5, $179.00 ,0%, $179.00 
58126,10/16/2015,United Kingdom,2200,UK3,Male,11,44,10.5, $179.00 ,0%, $179.00 
58127,10/16/2015,Germany,2209,GER3,Male,14,47,13.5, $199.00 ,0%, $199.00 
58128,10/16/2015,United States,2200,US12,Male,10,43,9.5, $199.00 ,0%, $199.00 
58129,10/16/2015,United States,2225,US8,Male,7.5,40-41,7, $159.00 ,0%, $159.00 
58130,10/16/2015,Germany,2224,GER1,Female,9,39-40,7, $199.00 ,10%, $179.10 
58131,10/16/2015,United States,2195,US4,Female,8.5,39,6.5, $189.00 ,20%, $151.20 
58132,10/17/2015,Germany,2165,GER1,Female,4.5,35,2.5, $149.00 ,0%, $149.00 
58133,10/17/2015,Germany,2217,GER3,Female,8.5,39,6.5, $149.00 ,50%, $74.50 
58134,10/17/2015,United States,2195,US8,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
58135,10/17/2015,United States,2229,US12,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
58135,10/17/2015,United States,2238,US12,Male,8.5,41-42,8, $169.00 ,10%, $152.10 
58136,10/17/2015,Germany,2191,GER2,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
58136,10/17/2015,Germany,2209,GER2,Female,8,38-39,6, $149.00 ,10%, $134.10 
58136,10/17/2015,Germany,2185,GER3,Female,8.5,39,6.5, $159.00 ,0%, $159.00 
58137,10/17/2015,Canada,2193,CAN2,Male,10,43,9.5, $179.00 ,0%, $179.00 
58138,10/17/2015,Canada,2228,CAN2,Male,9.5,42-43,9, $129.00 ,20%, $103.20 
58139,10/17/2015,United States,2165,US8,Female,8,38-39,6, $149.00 ,0%, $149.00 
58140,10/17/2015,United States,2210,US3,Female,9,39-40,7, $189.00 ,20%, $151.20 
58141,10/17/2015,Canada,2174,CAN6,Male,9,42,8.5, $159.00 ,20%, $127.20 
58142,10/17/2015,Germany,2219,GER1,Female,7.5,38,5.5, $169.00 ,30%, $118.30 
58143,10/17/2015,Canada,2213,CAN7,Male,11.5,44-45,11, $189.00 ,30%, $132.30 
58144,10/17/2015,Canada,2241,CAN3,Female,9,39-40,7, $179.00 ,0%, $179.00 
58145,10/17/2015,Germany,2157,GER1,Male,9,42,8.5, $189.00 ,30%, $132.30 
58146,10/17/2015,Canada,2241,CAN7,Male,10,43,9.5, $159.00 ,0%, $159.00 
